id,source,target,src_sentence,tar_sentence,true_y,AMT_src_ratings,AMT_tar_ratings
1130677,yummy,good,"Creative , inspired , yummy cocktails .","Creative , inspired , good cocktails .",0,"[1, 1, 2, 2, 2, 2, 2, 2, 3, 5]","[2, 2, 2, 3, 3, 3, 3, 3, 3, 5]"
1130509,yummy,good,"Super yummy pizza , friendly staff and management !","Super good pizza , friendly staff and management !",0,"[1, 1, 1, 1, 2, 2, 2, 2, 3, 3]","[2, 3, 3, 3, 3, 3, 4, 4, 4, 5]"
486526,yummy,tasty,Fresh meat/seafood with yummy sauce .,Fresh meat/seafood with tasty sauce .,0,"[1, 1, 2, 2, 2, 2, 2, 2, 3, 4]","[3, 3, 3, 3, 3, 3, 4, 4, 5, 5]"
486093,yummy,tasty,Some small complaints but I would certainly return for a yummy low key breakfast .,Some small complaints but I would certainly return for a tasty low key breakfast .,0,"[2, 2, 2, 2, 2, 2, 2, 3, 4]","[2, 2, 2, 3, 3, 3, 4, 4, 4, 5]"
655436,fabulous,amazing,Fabulous fabulous fabulous !,Fabulous amazing amazing !,0,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 3]","[1, 1, 2, 2, 2, 2, 2, 2, 3, 3]"
655462,fabulous,amazing,I ordered the vegetarian breakfast and was not disappointed -- great portion and fabulous taste .,I ordered the vegetarian breakfast and was not disappointed -- great portion and amazing taste .,0,"[1, 2, 2, 2, 3, 3, 3, 3, 4, 4]","[1, 1, 2, 2, 2, 2, 3, 3, 3, 3]"
1502554,gorgeous,great,"Gorgeous , gorgeous , gorgeous !","Gorgeous , great , great !",0,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 3]","[1, 1, 2, 2, 2, 2, 2, 3, 4, 4]"
1502505,gorgeous,great,A very gorgeous hostess greeted us & told us to seat ourselves .,A very great hostess greeted us & told us to seat ourselves .,0,"[4, 4, 4, 5, 5, 5, 5, 5, 5]","[2, 2, 3, 3, 3, 4, 4, 4, 4, 5]"
1502583,gorgeous,great,We had lunch on the patio overlooking the gorgeous golf course on a perfect late winter Vegas day .,We had lunch on the patio overlooking the great golf course on a perfect late winter Vegas day .,0,"[1, 1, 2, 2, 2, 2, 2, 2, 3, 3]","[2, 2, 2, 2, 3, 3, 4, 4, 4, 5]"
1650542,boyfriend,buddy,My boyfriend loved the chicken teriyaki roll and thought the soft shell crab roll was okay .,My buddy loved the chicken teriyaki roll and thought the soft shell crab roll was okay .,0,"[1, 1, 1, 1, 1, 1, 1, 2, 2]","[4, 4, 4, 4, 5, 5, 5, 5, 5]"
1002932,lovely,delightful,A lovely neighborhood vibe .,A delightful neighborhood vibe .,0,"[1, 1, 1, 2, 2, 2, 3, 3, 4, 4]","[2, 2, 2, 2, 3, 3, 3, 3, 4, 4]"
1002972,lovely,delightful,"The breakfast brunch daily was lovely with beautiful fresh fruits and breads , to order eggs , omelettes , pancakes and waffles and the best service ever from Rhonda !","The breakfast brunch daily was delightful with beautiful fresh fruits and breads , to order eggs , omelettes , pancakes and waffles and the best service ever from Rhonda !",0,"[2, 2, 2, 2, 3, 3, 3, 4, 5]","[1, 1, 1, 2, 2, 2, 2, 2, 3, 3]"
1002867,lovely,delightful,"Firey pillars mingled with a waterfall surrounding the wall of the patio , and the lovely AZ weather provided a perfect evening happy hour atmosphere !","Firey pillars mingled with a waterfall surrounding the wall of the patio , and the delightful AZ weather provided a perfect evening happy hour atmosphere !",0,"[1, 2, 2, 2, 2, 3, 3, 3, 4, 5]","[1, 2, 2, 2, 2, 2, 2, 2, 3, 3]"
2715047,yummy,delightful,Seriously yummy PhÃ² !,Seriously delightful PhÃ² !,0,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 5]","[1, 1, 2, 2, 2, 3, 3, 3, 4, 4]"
2714703,yummy,delightful,A nice Hawaiian spin on Chipotle/Qdoba-type burrito places ... very yummy !,A nice Hawaiian spin on Chipotle/Qdoba-type burrito places ... very delightful !,0,"[1, 2, 2, 2, 2, 2, 2, 3, 4, 5]","[2, 2, 2, 2, 2, 2, 2, 2, 3, 5]"
