id,source,target,src_sentence,tar_sentence,true_y,src_ratings,tar_ratings
1479293,famous,wonderful,"Our neighborhood is a quiet oasis with plenty of trees and sunlight surrounded by 2 grocery stores, parks, shops, restaurants & bars, and blocks away from the Hollywood Walk of Fame and the famous Runyon Canyon hiking trails & minutes away from Beverly Hills.","Our neighborhood is a quiet oasis with plenty of trees and sunlight surrounded by 2 grocery stores, parks, shops, restaurants & bars, and blocks away from the Hollywood Walk of Fame and the wonderful Runyon Canyon hiking trails & minutes away from Beverly Hills.",0,"[3, 4, 4, 4, 4, 5, 5, 5, 5, 5]","[4, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
187803,store,boutique,Great location and close to everything in Hollywood: Buses and Metro Ralphs food store Trader Joes food store Coffee Shops Runyon Canyon Hollywood Bowl Hollywood and Sunset Blvd Kodak Theater Hollywood walk of Fame,Great location and close to everything in Hollywood: Buses and Metro Ralphs food boutique Trader Joes food boutique Coffee Shops Runyon Canyon Hollywood Bowl Hollywood and Sunset Blvd Kodak Theater Hollywood walk of Fame,0,"[3, 4, 4, 4, 4, 4, 5, 5, 5]","[4, 4, 4, 5, 5, 5, 5, 5]"
872466,famous,grand,"Within walking distance you have Hollywood & Highland, Sunset Blvd, The Hollywood Walk of Fame, The W Hotel, The Capital Records Building, Dolby Theatre, TCL Chinese Theatre, Ralph's grocery store, Starbucks, local celebrity home tours and tons of Hollywoods most famous attractions.","Within walking distance you have Hollywood & Highland, Sunset Blvd, The Hollywood Walk of Fame, The W Hotel, The Capital Records Building, Dolby Theatre, TCL Chinese Theatre, Ralph's grocery store, Starbucks, local celebrity home tours and tons of Hollywoods most grand attractions.",0,"[4, 4, 4, 4, 4, 5, 5, 5, 5, 5]","[4, 4, 4, 4, 5, 5, 5, 5, 5]"
872371,famous,grand,Get inspired and make yourself famous in Hollywood!,Get inspired and make yourself grand in Hollywood!,0,"[1, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]","[3, 3, 4, 4, 4, 4, 4, 4, 5]"
716695,famous,excellent,Just a block walk to all of the gay bars and the world famous Sunset Strip.,Just a block walk to all of the gay bars and the world excellent Sunset Strip.,0,"[1, 2, 2, 3, 4, 4, 4, 4, 4, 5, 5]","[1, 1, 2, 4, 4, 4, 4, 5, 5]"
1032043,famous,big,"Home of the famous Sunset Strip music scene, Santa Monica Blvd., gay clubs, and Melrose shopping district, this multi-cultural neighborhood is an urban epicenter.","Home of the big Sunset Strip music scene, Santa Monica Blvd., gay clubs, and Melrose shopping district, this multi-cultural neighborhood is an urban epicenter.",0,"[3, 3, 4, 4, 4, 4, 5, 5, 5, 5]","[2, 3, 3, 4, 4, 4, 5, 5, 5]"
935646,famous,old,"Situated between the famous Sunset Strip and Santa Monica Blvd, walking distance to so many places including Skybar, The Comedy Store, Pink Taco, The Den, Barney's Beanery, Trader Joe's, Starbucks, CVS, Rainbow Room, Viper Room, The Whiskey, Koi, STK, Pump, the list goes on and on!","Situated between the old Sunset Strip and Santa Monica Blvd, walking distance to so many places including Skybar, The Comedy Store, Pink Taco, The Den, Barney's Beanery, Trader Joe's, Starbucks, CVS, Rainbow Room, Viper Room, The Whiskey, Koi, STK, Pump, the list goes on and on!",0,"[2, 4, 4, 4, 5, 5, 5, 5, 5]","[4, 4, 5, 5, 5, 5, 5, 5]"
75939,best,nicest,"It's right at the bottom of Runyon Canyon & it's few blocks from all the best Hollywood has to offer including Highland & Hollywood metro, Chinese & kodak Theater, Runyon Canyon, walk of fame etc.","It's right at the bottom of Runyon Canyon & it's few blocks from all the nicest Hollywood has to offer including Highland & Hollywood metro, Chinese & kodak Theater, Runyon Canyon, walk of fame etc.",0,"[1, 4, 4, 4, 4, 5, 5, 5, 5, 5]","[4, 4, 4, 4, 5, 5, 5, 5]"
1032430,famous,special,"The iconic Chateau Marmont is only a walk away, as are the many bars and restaurants of the famous Sunset Strip.","The iconic Chateau Marmont is only a walk away, as are the many bars and restaurants of the special Sunset Strip.",0,"[4, 4, 4, 4, 4, 4, 5, 5, 5]","[4, 4, 4, 4, 5, 5, 5]"
623100,square,plaza,"Walking Distance to South End, Copley square mall, Newbury Street, Boston Public Library, Boston Common, Boston Public Gardens, Downtown Crossing, Quincy Market, Downtown Boston, Numerous Universities & Colleges.","Walking Distance to South End, Copley plaza mall, Newbury Street, Boston Public Library, Boston Common, Boston Public Gardens, Downtown Crossing, Quincy Market, Downtown Boston, Numerous Universities & Colleges.",0,"[4, 4, 4, 4, 4, 4, 5, 5, 5]","[4, 4, 4, 4, 4, 5, 5, 5]"
