id,source,target,src_sentence,tar_sentence,src_true_y,AMT_src_ratings,AMT_tar_ratings
2371713,awkward,weird,That awkward moment when you pass out at work #onlyme,That weird moment when you pass out at work #onlyme,0,"[2, 2, 3, 3, 3, 4, 4, 4, 4, 4]","[2, 2, 2, 2, 2, 2, 2, 3, 4, 4]"
1534823,lovely,super,I'm sweating so bad my eye makeup came off . How lovely,I'm sweating so bad my eye makeup came off . How super,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 2, 2]"
419099,amazing,impressive,"My new "" ride "" .... Bling bling #love #TagsForLikes #TFLers #tweegram #photooftheday #20likes #amazing http://url","My new "" ride "" .... Bling bling #love #TagsForLikes #TFLers #tweegram #photooftheday #20likes #impressive http://url",0,"[1, 1, 2, 2, 3, 3, 4, 4, 4, 5]","[3, 4, 4, 4, 4, 4, 5, 5, 5, 5]"
2078795,sweetheart,girlfriend,you're seriously the biggest sweetheart for what you did for your friend that passed away and I have so much respect for you !,you're seriously the biggest girlfriend for what you did for your friend that passed away and I have so much respect for you !,0,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2]","[1, 1, 1, 2, 2, 2, 5, 5, 5]"
2371622,awkward,weird,Awkward awkward awkward ...,Awkward weird weird ...,0,"[2, 2, 2, 2, 2, 3, 3, 3, 3, 5]","[3, 3, 3, 3, 3, 4, 4, 4, 4, 5]"
1620683,peaceful,smooth,I can sit in the balcony all day if my view is as peaceful as this ! @user Atlantic Shores Retirement http://url,I can sit in the balcony all day if my view is as smooth as this ! @user Atlantic Shores Retirement http://url,0,"[2, 2, 3, 3, 3, 3, 3, 4, 4, 4]","[2, 2, 2, 3, 3, 4, 4, 4, 4, 4]"
2078770,sweetheart,girlfriend,"#YoureAttractiveIf you have a big heart , and are a sweetheart . not someone who doesn't care and treats girls like crap .","#YoureAttractiveIf you have a big heart , and are a girlfriend . not someone who doesn't care and treats girls like crap .",0,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[1, 1, 1, 1, 2, 2, 2, 3, 4, 5]"
2207163,gay,homo,"Why is port so gay man , like for real -.-","Why is port so homo man , like for real -.-",0,"[3, 4, 4, 5, 5, 5, 5, 5, 5, 5]","[4, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
2207038,gay,homo,TM got to house . Went back to beat Z who they profiled gay and assaulted Z for it per Rachel . TM committed felony hate crime #Zimmerman,TM got to house . Went back to beat Z who they profiled homo and assaulted Z for it per Rachel . TM committed felony hate crime #Zimmerman,0,"[2, 2, 2, 3, 3, 3, 4, 4, 5, 5]","[2, 2, 3, 3, 3, 4, 4, 5, 5, 5]"
305690,precious,valuable,Congrats to princess Kate and prince William on their precious new baby boy and future king !,Congrats to princess Kate and prince William on their valuable new baby boy and future king !,0,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 3]","[1, 1, 1, 2, 2, 2, 2, 3, 3]"
